app_du,mean_load,coefficient_of_variation,burstiness,lag1_autocorrelation,usable_minutes,coverage_ratio,imputed_ratio,mean_service_cpu_used_cores_proxy,observed_minutes,average_capacity_delta,over_provisioning_delta,scaling_actions_delta,sla_violation_delta,load_weight,outcome_taxonomy
app_1063,1724.2421016203705,0.46423770881594695,1.7252758939929294,0.9882134960648363,11203,0.9724826388888888,0.0275173611111111,1724.242101620371,11203,28.679501939440826,12.404211418229949,134.0,-0.0096153846153846,1724.242101620371,"SLA improved, Actions worsened"
app_1215,143.96744317129634,0.39057018590144793,1.7569018459660828,0.9924106593052542,11206,0.9727430555555556,0.0272569444444444,143.96744317129634,11206,-7.5469786539635635,-15.18072914889835,418.0,0.0,143.96744317129634,"Over improved, SLA worsened"
app_1254,372.0490571759261,0.41964870889888284,1.710424976830652,0.9317735594250051,11205,0.97265625,0.02734375,372.0490571759261,11205,18.11767075413776,10.422197724619709,80.0,-0.0078124999999999,372.0490571759261,"SLA improved, Actions worsened"
app_1276,290.17774884259296,0.2307886818237612,1.2123661034309736,0.9696286363869221,11204,0.9725694444444444,0.0274305555555555,290.17774884259296,11204,-17.479038411692088,-29.02468188403616,276.0,0.0108173076923077,290.17774884259296,"Over improved, SLA worsened"
app_141,4416.671716898138,0.3374783563800438,1.4756796711266438,0.9932931823682882,11207,0.9728298611111112,0.0271701388888888,4416.671716898138,11207,96.23511778281907,11.317140759227954,-243.0,-0.0084134615384615,4416.671716898138,Other mixed
app_1499,184.7748148148147,1.0237158496793275,3.013646640956368,0.9832936254053734,11204,0.9725694444444444,0.0274305555555555,184.7748148148147,11204,10.498089681745114,2.844815153294462,147.0,0.0060096153846154,184.7748148148147,All worsened
app_1552,814.964847511574,0.3880095067329843,1.548591538052496,0.9839050495351099,11204,0.9725694444444444,0.0274305555555555,814.9648475115742,11204,79.8199285863002,46.542564705893824,-180.0,-0.0144230769230769,814.9648475115742,Other mixed
app_1658,649.2882430555553,0.3272710340255579,1.3979630922137882,0.9964536416246137,11205,0.97265625,0.02734375,649.2882430555552,11205,16.756863942784946,-10.206100600484277,74.0,-0.001201923076923,649.2882430555552,"SLA improved, Over improved"
app_1675,469.13969699074124,0.37282336725362863,1.4760635359613685,0.9625664654875716,11206,0.9727430555555556,0.0272569444444444,469.1396969907413,11206,13.538529508061515,3.0043159514042017,86.0,0.0066105769230769,469.1396969907413,All worsened
app_17,57.81390711805532,0.2785675960561426,1.4986186597470394,0.9663387036985028,11203,0.9724826388888888,0.0275173611111111,57.81390711805531,11203,-3.455828337287848,-5.4911287478280295,532.0,0.0048076923076923,57.81390711805531,"Over improved, SLA worsened"
app_1797,450.6645758101856,0.25118654997143275,1.325275379350479,0.9897303497714292,11204,0.9725694444444444,0.0274305555555555,450.6645758101856,11204,-14.251923306759975,-23.17668804557797,338.0,0.0144230769230769,450.6645758101856,"Over improved, SLA worsened"
app_1825,466.5039612268518,0.391857388235141,1.5965337815666607,0.9936136606848877,11205,0.97265625,0.02734375,466.5039612268518,11205,-8.355022061540552,-19.1506530501044,265.0,0.0066105769230769,466.5039612268518,"Over improved, SLA worsened"
app_1826,117.42055729166655,0.6438942909791968,1.855603524847717,0.9390389120255508,11204,0.9725694444444444,0.0274305555555555,117.42055729166655,11204,4.908599124026864,1.6122963930544394,122.0,0.0078125,117.42055729166655,All worsened
app_2024,151.99382609953693,0.43405994485233,1.6966061930554457,0.9809725115774057,11205,0.97265625,0.02734375,151.99382609953693,11205,-6.651607901511063,-12.74549859852512,323.0,0.0012019230769231,151.99382609953693,"Over improved, SLA worsened"
app_2128,116.32563425925906,0.18160014565028176,1.1660370550629808,0.9752230359086526,11203,0.9724826388888888,0.0275173611111111,116.32563425925908,11203,-3.1976138770042866,-7.91670243109083,530.0,0.0006009615384615,116.32563425925908,"Over improved, SLA worsened"
app_2241,702.301572916667,0.4936174952854377,1.6241194817913485,0.9980782769383874,11206,0.9727430555555556,0.0272569444444444,702.3015729166673,11206,38.04777937001484,8.45246024106568,-305.0,0.0138221153846154,702.3015729166673,Other mixed
app_2264,526.0319178240736,0.368253193107814,1.3819592348572842,0.9965950217437141,11206,0.9727430555555556,0.0272569444444444,526.0319178240736,11206,4.936028470366551,-17.381571973794088,102.0,0.0006009615384615,526.0319178240736,"Over improved, SLA worsened"
