app_du,sla_violation_predictive_minus_reactive,over_provisioning_predictive_minus_reactive,scaling_actions_predictive_minus_reactive
app_141,-0.007211538461538461,14.708812660154678,-241.0
app_1675,0.021033653846153844,-0.9698209945704122,75.0
app_2128,0.0006009615384615385,-7.998167212635553,504.0
app_2557,0.001201923076923077,-9.80995680738478,261.0
app_3422,0.006610576923076924,-2.8671747330805784,499.0
app_3665,-0.0012019230769230796,19.340951121497554,-100.0
app_521,0.003605769230769231,-7.8584472192033346,117.0
app_7227,0.011418269230769232,4.397432794359165,114.0
app_7264,-0.004206730769230768,12.973839023343082,-179.0
app_8205,0.04266826923076923,13.310360065214617,-18.0
