selection_role,app_du,prefix_rows,train_valid_split_end,load_mean_prefix,burst_cv_prefix,peak_to_mean_prefix,selection_rule,coverage_ratio_metadata_only,median_container_request_cores,mean_container_request_cores,all_service_load_median_prefix,all_service_burst_cv_median_prefix,all_service_peak_to_mean_median_prefix,eligible_service_count_prefix_only
pilot_low_load_low_burst,app_2557,9792,9792,175.8797715822444,0.297129228739197,2.930979471729321,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.97265625,4.0,4.0,325.170386710239,0.37948061875536104,2.212661887808129,139
pilot_low_load_high_burst,app_7264,9792,9792,175.70736955337668,0.49605665788873293,3.1584332598605864,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.97265625,8.0,8.0,325.170386710239,0.37948061875536104,2.212661887808129,139
pilot_high_load_low_burst,app_1675,9792,9792,445.9742888071901,0.3615890799652505,4.009707984398576,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.9727430555555556,8.0,8.0,325.170386710239,0.37948061875536104,2.212661887808129,139
pilot_high_load_high_burst,app_3665,9792,9792,583.2465788398688,0.42360567284783407,2.987815782476762,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.9728298611111112,4.0,4.0,325.170386710239,0.37948061875536104,2.212661887808129,139
pilot_median_anchor,app_521,9792,9792,329.15802389705874,0.3905142135413251,1.8084322932566952,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.9725694444444444,4.0,4.0,325.170386710239,0.37948061875536104,2.212661887808129,139
cal_lowest_load_guard,app_3422,9792,9792,19.987471745642523,0.23169117023491892,2.769734997227388,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.97265625,4.0,4.0,325.170386710239,0.37948061875536104,2.212661887808129,139
cal_highest_load_guard,app_141,9792,9792,4395.189755446612,0.35103301542962895,1.8482448127751498,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.9728298611111112,8.0,8.0,325.170386710239,0.37948061875536104,2.212661887808129,139
cal_lowest_burst_guard,app_2128,9792,9792,114.58851239106731,0.19174671042362426,1.5806121941951254,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.9724826388888888,4.0,4.0,325.170386710239,0.37948061875536104,2.212661887808129,139
cal_highest_burst_guard,app_8205,9792,9792,172.0446078431372,0.9053907246199697,3.552102025523481,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.97265625,4.0,4.0,325.170386710239,0.37948061875536104,2.212661887808129,139
cal_peak_to_mean_guard,app_7227,9792,9792,93.25579452614376,0.7981172023658499,11.878940130518538,fixed 10-service calibration selected from train+validation prefix descriptors; test outcomes and full-span summary descriptors are not used for selection,0.97265625,4.0,4.0,325.170386710239,0.37948061875536104,2.212661887808129,139
